Query,Number of Papers Retrieved,Recall (out of 21),Recall (journalArticels & other),Recall (preprints),Missing Articles,Missing Preprint
LLM and SimulationA,825,19.05%,36.36%,0.00%,"Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Synthetic Replacements for Human Survey Data? The Perils of Large Language Models; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
LLM and SimulationB,2278,28.57%,54.55%,0.00%,"Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
,,,,,,
,,,,,,
LLM and Survey and SimulationA,463,19.05%,36.36%,0.00%,"Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Synthetic Replacements for Human Survey Data? The Perils of Large Language Models; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
LLM and Survey and SimulationB,1762,28.57%,54.55%,0.00%,"Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
,,,,,,
LLM and SimulationA and Methods,159,14.29%,27.27%,0.00%,"Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; Knowledge of cultural moral norms in large language models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Out of One, Many: Using Language Models to Simulate Human Samples; Synthetic Replacements for Human Survey Data? The Perils of Large Language Models; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
LLM and SimulationB and Methods,320,23.81%,45.45%,0.00%,"Algorithmic Fidelity of Large Language Models in Generating Synthetic German Public Opinions: A Case Study; Extracting Affect Aggregates from Longitudinal Social Media Data with Temporal Adapters for Large Language Models; LLM-Based Doppelgänger Models: Leveraging Synthetic Data for Human-Like Responses in Survey Simulations; Out of One, Many: Using Language Models to Simulate Human Samples; Synthetic Voices: Evaluating the Fidelity of LLM-Generated Personas in Representing People’s Financial Wellbeing; The Potential and Challenges of Evaluating Attitudes, Opinions, and Values in Large Language Models",Addressing Systematic Non-response Bias with Supervised Fine-Tuning of Large Language Models: A Case Study on German Voting Behaviour; AI-Augmented Surveys: Leveraging Large Language Models and Surveys for Opinion Prediction; Are Large Language Models Chameleons? An Attempt to Simulate Social Surveys; Can Large Language Models Simulate Human Responses? A Case Study of Stated Preference Experiments in the Context of Heating-related Choices; Delving Into the Psychology of Machines: Exploring the Structure of Self-Regulated Learning via LLM-Generated Survey Responses; Donald Trumps in the Virtual Polls: Simulating and Predicting Public Opinions in Surveys Using Large Language Models; Examining the Feasibility of Large Language Models as Survey Respondents; More Parameters Than Populations: A Systematic Literature Review of Large Language Models within Survey Research; Questioning the Survey Responses of Large Language Models; Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information
,,,100.00%,,,
