paperId,title,year,authors,abstract,doi,publicationTypes,researchAreas,source
88a390141104b22981d4fd8fe891b42f84670057,Generative AI Increases Cybersecurity Risks for Seniors,2024,Zahm Siyed,"We evaluate how generative AI exacerbates the cyber risks faced by senior citizens. We assess the risk that powerful LLMs can easily be misconfigured to serve a malicious purpose, and that platforms such as HackGPT or WormGPT can facilitate low-skilled script kiddies to replicate the effectiveness of high-skilled threat actors. We surveyed 85 seniors and found that the combination of loneliness and low cyber literacy places 87% of them at high risk of being hacked. Our survey further revealed that 67% of seniors have already been exposed to potentially exploitable digital intrusions and only 22% of seniors have sufficient awareness of risks to ask techno-literate for remedial assistance. Our risk analysis suggests that existing attack vectors can be augmented with AI to create highly personalized and believable digital exploits that are extremely difficult for seniors to distinguish from legitimate interactions. Technological advances allow for the replication of familiar voices, live digital reconstruction of faces, personalized targeting, and falsification of records. Once an attack vector is identified, certain generative polymorphic capabilities allow rapid mutation and obfuscation to deliver unique payloads. Both inbound and outbound risks exist. In addition to inbound attempts by individual threat actors, seniors are vulnerable to outbound attacks through poisoned LLMs, such as Threat GPT or PoisonGPT. Generative AI can maliciously alter databases to provide incorrect information or compromised instructions to gullible seniors seeking outbound digital guidance. By analyzing the extent to which senior citizens are at risk of exploitation through new developments in AI, the paper will contribute to the development of effective strategies to safeguard this vulnerable population.",10.5539/cis.v17n2p39,"['JournalArticle', 'Review']",Computer Science,Semantic Scholar
eae23f2d833ef1b63c144e5d59e749e313597f8f,Reimagining Personal Data: Unlocking the Potential of AI-Generated Images in Personal Data Meaning-Making,2025,"Soobin Park, Hankyung Kim, Youn-kyung Lim","Image-generative AI provides new opportunities to transform personal data into alternative visual forms. In this paper, we illustrate the potential of AI-generated images in facilitating meaningful engagement with personal data. In a formative autobiographical design study, we explored the design and use of AI-generated images derived from personal data. Informed by this study, we designed a web-based application as a probe that represents personal data through generative images utilizing Open AI’s GPT-4 model and DALL-E 3. We then conducted a 21-day diary study and interviews using the probe with 16 participants to investigate users’ in-depth experiences with images generated by AI in everyday lives. Our findings reveal new qualities of experiences in users’ engagement with data, highlighting how participants constructed personal meaning from their data through imagination and speculation on AI-generated images. We conclude by discussing the potential and concerns of leveraging image-generative AI for personal data meaning-making.",10.1145/3706598.3713722,"['JournalArticle', 'Book', 'Conference']",Computer Science,Semantic Scholar
224153bd0306ca73647ddaef890aad0899874b4c,Open-Ended NPC Dialogue Favors Casual Players: A Pilot Comparison of Three LLM-Driven Dialogue Systems,2025,"Rasmus Ploug, Emil Rimer, Anthon Kristian Skov Petersen, Marco Scirea","Non-player character (NPC) dialogue plays a crucial role in shaping the player experience in narrativedriven video games, influencing agency, immersion and story engagement. Despite the recent advancements in large language models (LLMs) for dynamic dialogue generation, few empirical studies have compared their impact across different dialogue system designs. This pilot study explores how LLM-driven dialogue systems affect the player experience using a custom-developed role-playing game (RPG) featuring four different dialogue designs; static control (CV), rephrase (A), hybrid (B) and fully open-ended (C). Behavioral data and post-game questionnaires were collected from 64 participants. Results indicate that fully open-ended dialogues led to significantly longer dialogue interactions and higher overall engagement, particularly among casual players, with the survey feedback highlighting its immersive and natural tone. These findings suggest that fully open-ended LLM-based dialogue in video games can enhance narrative depth and player involvement.",10.1109/CoG64752.2025.11114150,"['JournalArticle', 'Conference', 'Review']",Computer Science,Semantic Scholar
WOS:001517190200239,Assessing Gender and Age Influences on Moral Decision Making in Autonomous Vehicles Using Large Language Models,2025,"Rathore, Heena; Chowdary, Pranay Jasti; Griffith, Henry","Autonomous systems, especially those in safety-critical applications like Autonomous Vehicles (AVs), require human-like reasoning capabilities to make ethical decisions. Large Language Models (LLMs) have shown potential in simulating diverse human moral responses, offering insights into how different moral frameworks, such as utilitarianism and deontological ethics, could enhance decision-making algorithms in AVs. Existing research indicates that LLMs tend to align with commonsense morality in morally unambiguous cases, but face challenges in providing detailed justifications for their choices. Studies leveraging frameworks like the Moral Machine and Moral Foundations Theory have explored how LLMs simulate human preferences. Despite this progress, a significant gap remains in understanding how gender and age impact moral preferences when decisions are influenced by LLMs in autonomous systems. This paper addresses this gap by investigating how LLM-based systems can reflect and adapt to moral preferences across gender and age groups, while ensuring that these systems offer transparent explanations that align with human moral intuitions in high-stakes AV decision-making scenarios. It was found that LLM models demonstrated diverse tendencies: some leaned towards favoring younger individuals over older ones, while others displayed a subtle preference for males in decision-making situations, highlighting differences in how the models prioritized age and gender.",10.1109/CCNC54725.2025.10976190,Proceedings Paper,Computer Science; Engineering; Telecommunications,Web of Science
5cfbaa9828d1cf447aaf9cb39f8ccadf3fd1de88,AgentSociety: Large-Scale Simulation of LLM-Driven Generative Agents Advances Understanding of Human Behaviors and Society,2025,"J. Piao, Yuwei Yan, Jun Zhang, Nian Li, Junbo Yan, Xiaochong Lan, Zhihong Lu, Zhiheng Zheng, Jing Yi Wang, Di Zhou, Chen Gao, Fengli Xu, Fang Zhang, Ke Rong, Jun Su, Yong Li","Understanding human behavior and society is a central focus in social sciences, with the rise of generative social science marking a significant paradigmatic shift. By leveraging bottom-up simulations, it replaces costly and logistically challenging traditional experiments with scalable, replicable, and systematic computational approaches for studying complex social dynamics. Recent advances in large language models (LLMs) have further transformed this research paradigm, enabling the creation of human-like generative social agents and realistic simulacra of society. In this paper, we propose AgentSociety, a large-scale social simulator that integrates LLM-driven agents, a realistic societal environment, and a powerful large-scale simulation engine. Based on the proposed simulator, we generate social lives for over 10k agents, simulating their 5 million interactions both among agents and between agents and their environment. Furthermore, we explore the potential of AgentSociety as a testbed for computational social experiments, focusing on four key social issues: polarization, the spread of inflammatory messages, the effects of universal basic income policies, and the impact of external shocks such as hurricanes. These four issues serve as valuable cases for assessing AgentSociety's support for typical research methods -- such as surveys, interviews, and interventions -- as well as for investigating the patterns, causes, and underlying mechanisms of social issues. The alignment between AgentSociety's outcomes and real-world experimental results not only demonstrates its ability to capture human behaviors and their underlying mechanisms, but also underscores its potential as an important platform for social scientists and policymakers.",10.48550/arXiv.2502.08691,"['JournalArticle', 'Review']",Computer Science; Sociology,Semantic Scholar
58c7539843595a9913551518f3e2f3fc39069bec,Driving Generative Agents With Their Personality,2024,"Lawrence J. Klinkert, Stephanie Buongiorno, Corey Clark","This research explores the potential of Large Language Models (LLMs) to utilize psychometric values, specifically personality information, within the context of video game character development. Affective Computing (AC) systems quantify a Non-Player character's (NPC) psyche, and an LLM can take advantage of the system's information by using the values for prompt generation. The research shows an LLM can consistently represent a given personality profile, thereby enhancing the human-like characteristics of game characters. Repurposing a human examination, the International Personality Item Pool (IPIP) questionnaire, to evaluate an LLM shows that the model can accurately generate content concerning the personality provided. Results show that the improvement of LLM, such as the latest GPT-4 model, can consistently utilize and interpret a personality to represent behavior.",10.48550/arXiv.2402.14879,['JournalArticle'],Computer Science; Psychology,Semantic Scholar
5a13127f6ac6c486b7888f6ad22bf58656d63ee6,"Practicing Stress Relief for the Everyday: Designing Social Simulation Using VR, AR, and LLMs",2024,"Anna Fang, Hriday Chhabria, Alekhya Maram, Haiyi Zhu","Stress is an inevitable part of day-to-day life yet many find themselves unable to manage it themselves, particularly when professional or peer support are not always readily available. As self-care becomes increasingly vital for mental well-being, this paper explores the potential of social simulation as a safe, virtual environment for practicing stress relief for everyday situations. Leveraging the immersive capabilities of VR, AR, and LLMs, we developed eight interactive prototypes for various everyday stressful scenarios (e.g. public speaking) then conducted prototype-driven semi-structured interviews with 19 participants. We reveal that people currently lack effective means to support themselves through everyday stress and found that social simulation fills a gap for simulating real environments for training mental health practices. We outline key considerations for future development of simulation for self-care, including risks of trauma from hyper-realism, distrust of LLM-recommended timing for mental health recommendations, and the value of accessibility for self-care interventions.",10.48550/arXiv.2410.01672,['JournalArticle'],Computer Science; Psychology,Semantic Scholar
8eed06168bac98b2497f7408f1253614c68ccece,LLM-Net: Democratizing LLMs-as-a-Service through Blockchain-based Expert Networks,2025,"Zan-Kai Chong, Hiroyuki Ohsaki, Bryan Ng","The centralization of Large Language Models (LLMs) development has created significant barriers to AI advancement, limiting the democratization of these powerful technologies. This centralization, coupled with the scarcity of high-quality training data and mounting complexity of maintaining comprehensive expertise across rapidly expanding knowledge domains, poses critical challenges to the continued growth of LLMs. While solutions like Retrieval-Augmented Generation (RAG) offer potential remedies, maintaining up-to-date expert knowledge across diverse domains remains a significant challenge, particularly given the exponential growth of specialized information. This paper introduces LLMs Networks (LLM-Net), a blockchain-based framework that democratizes LLMs-as-a-Service through a decentralized network of specialized LLM providers. By leveraging collective computational resources and distributed domain expertise, LLM-Net incorporates fine-tuned expert models for various specific domains, ensuring sustained knowledge growth while maintaining service quality through collaborative prompting mechanisms. The framework's robust design includes blockchain technology for transparent transaction and performance validation, establishing an immutable record of service delivery. Our simulation, built on top of state-of-the-art LLMs such as Claude 3.5 Sonnet, Llama 3.1, Grok-2, and GPT-4o, validates the effectiveness of the reputation-based mechanism in maintaining service quality by selecting high-performing respondents (LLM providers). Thereby it demonstrates the potential of LLM-Net to sustain AI advancement through the integration of decentralized expertise and blockchain-based accountability.",10.48550/arXiv.2501.07288,['JournalArticle'],Computer Science,Semantic Scholar
1ada7526a9f763ae5523ee843e932657f4caca86,Leveraging Computer Vision and Visual LLMs for Cost-Effective and Consistent Street Food Safety Assessment in Kolkata India,2025,"Alexey Chernikov, Klaus Ackermann, Caitlin Brown, Denni Tommasi","Ensuring street food safety in developing countries is crucial due to the high prevalence of foodborne illnesses. Traditional methods of food safety assessments face challenges such as resource constraints, logistical issues, and subjective biases influenced by surveyors personal lived experiences, particularly when interacting with local communities. For instance, a local food safety inspector may inadvertently overrate the quality of infrastructure due to prior familiarity or past purchases, thereby compromising objective assessment. This subjectivity highlights the necessity for technologies that reduce human biases and enhance the accuracy of survey data across various domains.
This paper proposes a novel approach based on a combination of Computer Vision and a lightweight Visual Large Language Model (VLLM) to automate the detection and analysis of critical food safety infrastructure in street food vendor environments at a field experiment in Kolkata, India. The system utilises a three-stage object extraction pipeline from the video to identify, extract and select unique representations of critical elements such as hand-washing stations, dishwashing areas, garbage bins, and water tanks. These four infrastructure items are crucial for maintaining safe food practices, irrespective of the specific methods employed by the vendors. A VLLM then analyses the extracted representations to assess compliance with food safety standards. Notably, over half of the pipeline can be processed using a user's smartphone, significantly reducing government server workload. By leveraging this decentralised approach, the proposed system decreases the analysis cost by many orders of magnitude compared to alternatives like ChatGPT or Claude 3.5. Additionally, processing data on local government servers provides better privacy and security than cloud platforms, addressing critical ethical considerations. This automated approach significantly improves efficiency, consistency, and scalability, providing a robust solution to enhance public health outcomes in developing regions.",10.1609/aaai.v39i27.35008,"['JournalArticle', 'Conference', 'Review']",Computer Science; Environmental Science,Semantic Scholar
a2be2060a0e2e7b5f420be97b5bb3c018b718a09,An AI-Powered Platform for Personalized Mock Interviews Using LLMs and Modern Full-Stack Web Technologies,2025,"Mr. K Kiran Babu, CH. Srikaran, G. Chandrashekar, D. Akshara, K. A. Reddy",,10.55248/gengpi.6.0625.2380,['JournalArticle'],Computer Science,Semantic Scholar
